;wheat_mass;Longitude;Latitude;wheat_mass_categorical
380;6781.6;5.584560835153073;48.77810849633792;< 7000
381;7965.3;5.584554360034461;48.77811785992954;7000-8000
382;7527.0;5.584547884915849;48.77812674941367;7000-8000
383;8002.1;5.584541050068426;48.77813623152832;8000-9000
384;6718.0;5.584534215221002;48.778145358061984;< 7000
385;6111.6;5.584527380373578;48.77815401048847;< 7000
392;7557.9;5.584533855492191;48.77816254438712;7000-8000
398;8697.4;5.584573785390296;48.77821019196117;8000-9000
399;8617.5;5.584580440373313;48.778216236799416;8000-9000
400;9302.0;5.584585656441084;48.77822251868938;> 10000
401;8460.7;5.584590332915636;48.77822974878818;8000-9000
402;7730.1;5.584594649661378;48.77823674183355;7000-8000
403;7132.4;5.584599506000337;48.77824444603497;7000-8000
404;6946.8;5.584604002610483;48.77825226876135;< 7000
405;7482.5;5.58460939854266;48.77825985443425;7000-8000
406;7234.6;5.584614794474836;48.77826696600155;7000-8000
407;6773.8;5.584621089729041;48.77827348493736;< 7000
408;7906.2;5.584627205118842;48.77827905566365;7000-8000
409;7521.8;5.584635119152701;48.77828427081111;7000-8000
410;7724.9;5.584642673457748;48.778289130379854;7000-8000
411;8323.8;5.584650947220418;48.77829327879181;8000-9000
416;9164.0;5.584692675762581;48.77830619812973;> 10000
417;9864.8;5.584702028711687;48.77830904275415;> 10000
419;8030.6;5.584723972169205;48.77831473200249;8000-9000
420;8478.0;5.584734943897963;48.77831793220441;8000-9000
421;9921.4;5.5847450163046926;48.77832113240611;> 10000
422;9422.5;5.58475472898261;48.778325399341405;> 10000
423;8980.4;5.584765520846963;48.77832931069844;8000-9000
424;8768.4;5.584776132846909;48.77833334058112;8000-9000
425;8952.6;5.584787104575668;48.7783368963597;8000-9000
426;9179.5;5.584798076304427;48.77834033361208;> 10000
427;9293.2;5.584809048033185;48.77834400791609;> 10000
428;9946.0;5.58482019962635;48.778347682219824;> 10000
429;9062.1;5.58483153108392;48.77835159357512;> 10000
430;8245.9;5.584843222270302;48.77835586050783;8000-9000
431;9186.2;5.584855812778714;48.77836024596606;> 10000
432;7632.5;5.584869122744748;48.77836486847568;7000-8000
433;7753.9;5.584882432710785;48.77836925393312;7000-8000
434;7696.0;5.584895742676819;48.77837352086432;7000-8000
435;8173.0;5.584908513049636;48.77837743221761;8000-9000
436;7783.4;5.58492146328686;48.77838146209643;7000-8000
437;7527.7;5.584934233659678;48.77838596607826;7000-8000
438;7757.1;5.584947004032495;48.77839058858551;7000-8000
439;7278.7;5.584959774405312;48.77839521109234;7000-8000
440;7508.4;5.584972364913724;48.778399478021335;7000-8000
441;7215.0;5.584985315150947;48.77840386347576;7000-8000
442;8022.2;5.584997905659359;48.77840777482668;8000-9000
443;8492.9;5.585009057252523;48.77841192322884;8000-9000
444;8556.1;5.585020388710093;48.77841619015642;8000-9000
445;8625.6;5.585031360438851;48.77842022003212;8000-9000
446;8254.1;5.585042871760828;48.77842448695899;8000-9000
447;8420.2;5.585054383082804;48.7784287538855;8000-9000
448;8437.4;5.585066433997998;48.77843266523448;8000-9000
449;8266.1;5.585078484913192;48.77843657658316;8000-9000
450;8365.7;5.585090355963981;48.778440487931526;8000-9000
451;8365.9;5.58510258674358;48.77844439927959;8000-9000
452;8306.8;5.585114997387586;48.77844842915304;8000-9000
453;8392.4;5.58512704830278;48.77845245902616;8000-9000
454;7963.3;5.585139458946785;48.77845625184763;7000-8000
455;8525.2;5.585151329997572;48.77846028172013;8000-9000
456;8311.3;5.585163560777174;48.778464311592295;8000-9000
457;8053.4;5.585175791556773;48.77846834146415;8000-9000
458;8422.0;5.585188022336372;48.77847260838692;8000-9000
459;8401.2;5.585200253115973;48.77847687530935;8000-9000
460;8245.3;5.585212663759978;48.77848102370579;8000-9000
461;8080.0;5.585225074403984;48.77848552767869;8000-9000
462;8037.0;5.585237305183584;48.778489794600006;8000-9000
463;8481.5;5.585249535963182;48.77849418004654;8000-9000
464;8422.0;5.585262126471594;48.77849856549269;8000-9000
465;8235.5;5.585274716980006;48.7785028324129;8000-9000
466;8353.0;5.585287127624013;48.77850745490939;8000-9000
