,wheat_mass,Longitude,Latitude
0,6668.1,5.5886315263869255,48.776399433821496
1,6745.8,5.588616777505644,48.77639327023392
2,6987.0,5.588601129302332,48.7763873437067
3,6798.7,5.588585840827832,48.77638141717878
4,6331.3,5.588570732217739,48.77637549065015
5,6449.5,5.588555443743238,48.77636980118202
7,7486.4,5.588525586251863,48.7763572369376
9,6541.9,5.588501304557068,48.77634052411704
11,7946.7,5.588490512692716,48.77631729210191
12,6546.3,5.588489793235094,48.77630449078287
14,8873.3,5.58849033282831,48.77628090315866
15,7791.0,5.588491412014745,48.77626893154615
16,8394.5,5.588493930116428,48.77625731552336
17,7140.4,5.588497707268951,48.7762464106832
26,9096.3,5.5885338600145325,48.7761698396736
28,7699.7,5.588452561303076,48.77619769446615
31,6697.3,5.588425581642194,48.77619366441201
32,6672.0,5.588405077099924,48.77618998995061
33,8845.5,5.588390328218642,48.77618738226816
34,7424.4,5.58837162232043,48.77618370780629
35,6113.0,5.588349319134101,48.77617920362687
36,9062.9,5.588334929981631,48.77617624035071
37,6351.5,5.5883135261173305,48.7761729214812
39,8116.9,5.588283129032737,48.77616794317653
40,7834.0,5.58826604191418,48.77616509843078
41,7893.5,5.5882493145244325,48.77616071278077
42,7672.8,5.588232587134685,48.77615727537914
43,7930.9,5.588216039609345,48.77615431210169
44,6138.8,5.588195535067074,48.77615123029295
45,7726.9,5.588178268084111,48.776148978201824
46,7579.4,5.588161001101145,48.7761467261106
47,7934.8,5.588143913982587,48.77614447401928
48,9411.5,5.588130064423335,48.77614257752124
49,7685.8,5.588112977304776,48.776139969836336
50,7408.7,5.588095890186217,48.77613795480699
51,6688.8,5.588075025915136,48.77613522859069
52,9683.5,5.588061176355883,48.77613333209231
53,6751.8,5.588041211406831,48.77612882790836
55,7950.4,5.58801153377986,48.77612124191343
56,8051.3,5.58799498625452,48.776117330384345
57,7388.6,5.587976999813932,48.77611377444855
58,7578.8,5.58795919323775,48.77610986291888
59,7813.3,5.587941566525973,48.776106425513774
60,7258.9,5.587923400220979,48.77610286957721
61,7834.7,5.5879059533736095,48.776099550702845
62,7137.5,5.587887966933022,48.7760959947658
63,7690.1,5.587870520085652,48.77609279442223
64,6323.4,5.587849116221352,48.776088882890924
65,9629.0,5.587835086797694,48.77608639373448
66,7586.4,5.587816920492699,48.776083311921575
67,6111.6,5.58779461730637,48.7760796374521
68,9297.6,5.5877796885606825,48.77607726682648
70,7251.0,5.587737960018518,48.77607110319936
71,8693.2,5.587722671544019,48.77606861404203
73,8891.4,5.5876852597475954,48.77606268747648
74,6114.6,5.5876627766968605,48.77605960566211
75,9158.4,5.587647668086768,48.77605735356688
76,6158.3,5.587625185036033,48.77605379762685
77,9592.5,5.58761043615475,48.776051427000006
78,6898.8,5.587591730256539,48.77604834518496
79,7153.1,5.587572844493922,48.77604478924427
80,7353.7,5.587554678188928,48.7760409962406
81,7136.8,5.587535972290716,48.77603696617389
82,7459.2,5.587518165714534,48.77603293610685
83,7358.1,5.58749999940954,48.77602855044528
84,7588.6,5.587481833104547,48.77602475744039
85,7142.8,5.587463486935148,48.77602143856087
86,7382.4,5.587444781036936,48.77601859380682
87,7412.8,5.58742625500313,48.77601527492688
88,7428.0,5.587407549104919,48.776012193109615
89,7225.8,5.587389023071113,48.77600922982359
90,7520.4,5.587370317172901,48.77600614800595
91,6004.0,5.587348013986572,48.77600235499936
92,8816.3,5.587333085240886,48.77600022143303
93,7463.8,5.587314379342674,48.77599725814631
94,7130.2,5.587295493580056,48.77599393926496
95,6987.3,5.587276967546251,48.77599050185192
96,6011.6,5.5872546643599215,48.77598623471816
97,9059.0,5.587239735614234,48.77598338996211
98,6615.7,5.587220849851616,48.77598007107984
