;Région;Occupé;Larg.;Durée;Distance;Humidité;Mass_Yield;Flux_Blé_d;Productivi;Util._carb;Vites.;Direction;Header_Off;Rdmt_masse;Rdmt_humid;Rdmt_sec;Flux;Flux2;Altitude;Datage;Flux3;Flux4;Flux5;Flux6;Flux7;Flux8;Flux9;Flux:;"Flux;";Flux<;Flux=;Flux>;Longitude;Latitude
776;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.5;6890.0;7.8;3.6;75.1;4.5;148.8;0.0;6863.7;6863.7;6003.7;28044.0;24530.1;270.64;1627044976.0;;;;;;;;;;;;;5.5881106390675;48.777423764149546
777;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.5;7481.0;8.4;3.6;75.5;4.5;151.4;0.0;7451.0;7451.0;6521.1;30348.0;26560.6;270.68;1627044977.0;;;;;;;;;;;;;5.588118732965765;48.77741404484406
778;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.5;6897.0;7.9;3.6;73.4;4.5;151.1;0.0;6940.1;6940.1;6074.7;28296.0;24767.5;270.76;1627044978.0;;;;;;;;;;;;;5.588127006728435;48.77740432553668
779;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.5;7191.0;8.1;3.6;73.8;4.5;150.6;0.0;7141.6;7141.6;6251.8;29232.0;25589.7;270.81;1627044979.0;;;;;;;;;;;;;5.588135280491105;48.777394606227425
780;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.5;7191.0;8.2;3.6;73.4;4.4;148.7;0.0;7176.7;7176.7;6281.8;29376.0;25712.8;270.87;1627044980.0;;;;;;;;;;;;;5.588144093846993;48.777385005444486
781;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.5;7060.0;8.0;3.6;75.0;4.5;147.5;0.0;7041.6;7041.6;6161.4;28728.0;25137.0;270.93;1627044981.0;;;;;;;;;;;;;5.588153087067287;48.77737564171614
782;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.5;7313.0;8.3;3.6;73.4;4.5;150.5;0.0;7342.1;7342.1;6425.8;29988.0;26245.5;270.98;1627044982.0;;;;;;;;;;;;;5.588161540694364;48.77736592240134
783;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.4;7678.0;8.8;3.6;70.7;4.5;151.0;0.0;7709.5;7709.5;6751.2;31536.0;27616.1;271.03;1627044983.0;;;;;;;;;;;;;5.588169634592627;48.77735620308464
784;Boulinsard - 23/07/2021;T;9.15;1.0;1.23;12.4;7197.0;8.2;3.6;74.1;4.5;150.2;0.0;7222.0;7222.0;6325.0;29340.0;25696.0;271.08;1627044984.0;;;;;;;;;;;;;5.5881780882197045;48.77734660229435
785;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.5;6977.0;7.9;3.6;73.2;4.5;150.4;0.0;6962.8;6962.8;6096.0;28404.0;24867.7;271.13;1627044985.0;;;;;;;;;;;;;5.588186361982375;48.77733688297393
786;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.5;7270.0;8.3;3.6;71.6;4.4;149.3;0.0;7304.7;7304.7;6390.9;29808.0;26079.0;271.19;1627044986.0;;;;;;;;;;;;;5.588194995473857;48.77732728217994
787;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.5;7522.0;8.5;3.6;70.8;4.5;147.4;0.0;7493.9;7493.9;6556.4;30708.0;26866.4;271.24;1627044987.0;;;;;;;;;;;;;5.588204168558557;48.77731791844083
788;Boulinsard - 23/07/2021;T;9.15;1.0;1.25;12.5;7521.0;8.5;3.6;70.5;4.5;148.8;0.0;7478.9;7478.9;6544.0;30780.0;26932.5;271.29;1627044988.0;;;;;;;;;;;;;5.588212981914445;48.777308317643225
789;Boulinsard - 23/07/2021;T;9.15;1.0;1.25;12.5;7458.0;8.5;3.6;73.4;4.5;149.2;0.0;7464.7;7464.7;6535.4;30672.0;26853.3;271.35;1627044989.0;;;;;;;;;;;;;5.588221615405927;48.77729859831538
790;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.4;7118.0;8.1;3.6;74.7;4.4;148.4;0.0;7191.3;7191.3;6297.4;29268.0;25630.0;271.41;1627044990.0;;;;;;;;;;;;;5.588230608626221;48.777289116042496
791;Boulinsard - 23/07/2021;T;9.15;1.0;1.25;12.5;7446.0;8.4;3.6;74.1;4.5;152.1;0.0;7408.3;7408.3;6486.0;30420.0;26632.7;271.47;1627044991.0;;;;;;;;;;;;;5.588238522660079;48.77727927818249
792;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.5;7087.0;8.0;3.6;74.7;4.5;151.2;0.0;7105.8;7105.8;6220.4;28980.0;25369.1;271.53;1627044992.0;;;;;;;;;;;;;5.588246616558344;48.77726955884902
793;Boulinsard - 23/07/2021;T;9.15;1.0;1.23;12.5;7038.0;8.0;3.6;73.3;4.5;151.5;0.0;7148.2;7148.2;6256.8;28980.0;25366.2;271.6;1627044993.0;;;;;;;;;;;;;5.588254710456609;48.777259839513675
794;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.5;7038.0;7.8;3.6;75.0;4.5;150.2;0.0;6905.7;6905.7;6044.6;28224.0;24704.5;271.65;1627044994.0;;;;;;;;;;;;;5.588262984219279;48.77725012017644
795;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.5;7194.0;8.1;3.6;73.6;4.5;148.6;0.0;7186.5;7186.5;6291.1;29304.0;25652.7;271.71;1627044995.0;;;;;;;;;;;;;5.5882717975751675;48.777240637894394
796;Boulinsard - 23/07/2021;T;9.15;1.0;1.23;12.5;6595.0;7.5;3.6;75.2;4.4;149.2;0.0;6678.7;6678.7;5843.9;27072.0;23688.0;271.78;1627044996.0;;;;;;;;;;;;;5.58828043106665;48.77723115561058
797;Boulinsard - 23/07/2021;T;9.15;1.0;1.24;12.5;6643.0;7.5;3.6;73.4;4.4;150.2;0.0;6635.1;6635.1;5803.7;27108.0;23711.4;271.84;1627044997.0;;;;;;;;;;;;;5.588288884693726;48.77722143626779
798;Boulinsard - 23/07/2021;T;9.15;1.0;1.25;12.5;6946.0;7.8;3.6;74.7;4.5;148.8;0.0;6869.3;6869.3;6010.7;28224.0;24696.0;271.9;1627044998.0;;;;;;;;;;;;;5.588297698049614;48.77721183545172
